Symptoms,Condition
"Runny nose, sneezing, and congestion",Cold
"High body temperature, sweating, and weakness",Fever
"Persistent cough, throat irritation, and chest congestion",Cough
"Throbbing head pain, sensitivity to light and sound",Headache
"Muscle aches, joint pain, and general discomfort",Body Pain
"Itchy eyes, sneezing, and skin rashes",Allergy
"Burning sensation in chest, bloating after meals",Acidity
"Loose watery stools, stomach cramps",Diarrhea
"Difficulty passing stools, hard stools",Constipation
"Feeling sick, vomiting sensation, loss of appetite",Nausea
"Fever with chills, localized pain and swelling",Infection
"Wheezing, shortness of breath, chest tightness",Asthma
"High blood pressure, occasional headaches",Hypertension
"Increased thirst, frequent urination, fatigue",Diabetes
"Fatigue, pale skin, weakness",Anemia
"Weight changes, tiredness, temperature sensitivity",Thyroid Disorder
"Red, itchy, or inflamed skin with possible discharge",Skin Infection
"Severe headache on one side, nausea, light sensitivity",Migraine
"Localized muscle pain, stiffness, and tenderness",Muscle Pain
"Sharp or dull pain in ear, reduced hearing",Ear Pain
"Red, itchy, watery eyes with possible swelling",Eye Allergy
"Rectal discomfort, bleeding during bowel movements",Piles
"Burning chest pain after eating",Heartburn
"Burning during urination, frequent urges",UTI
"Difficulty falling asleep, restless nights",Insomnia
